company0,job_title0,descrip0,company1,job_title1,descrip1,company2,job_title2,descrip2,company3,job_title3,descrip3,company4,job_title4,descrip4,school,degree,school_score,skill_score,,
Two Sigma,Software Engineer,I am one of the early adopters of React at Two Sigma I enjoy building the backend and frontend of web apps all by myself I led the development of the company s first mobile app using React Native I contributed to building the internal analytics platform through solving difficult statistical problems ,Brandeis University,Research Assistant,Software Engineering Intern at Airbnb June 2015   August 2015  3 months ,Airbnb,Software Engineering Intern,I am one of the early adopters of React at Airbnb Under the guidance of my intern manager I rebuilt part of Airbnb com using React and the corresponding backend using Ruby on Rails ,Brandeis University,Teaching Fellow,Undergraduate Research Assistant at Chinese Academy of Sciences June 2009   May 2010  1 year , Research Assistant at Chinese Academy of Sciences,Undergrad,Education Brandeis University Doctor of Philosophy Ph D  Physics 2010  2016 University of Science and Technology of China Bachelor of Science B S  Physics 2006  2010 ,Brandeis University,University of Science and Technology of China,1,,,
Apple,Software Test Automtaion Engineer, Contract ,ChefSteps,SDET,Worked on team that developed and delivered the Joule Immersion Circulator a best in class Sous Vide tool https  www chefsteps com joule Developed and maintained the Jasmine JavaScript based automation test system for the Joule firmware QA Responsibility for The E Commerce System The iOS and Android app built with the Ionic Cordova framework  The WiFi and Bluetooth interaction between the app and the Joule device and the Joule firmware Tested the thermal and fluid flow characteristics of the Joule device  Proposed and validated an engineering change to reduce product cost and improve manufacturability  Overall system test and quality Implemented the JIRA based issue tracking system ,Amazon,Quality Assurance Engineer,Worked as a QA lead for Launcher of the Kindle Fire Tablets responsible for test strategy test development and test execution Conduct Exploratory testing and root cause analysis of failures  Developed the Android random monkey test system and crash analysis program used across the kindle org ,Northrop Grumman Mission Systems,System's Engineering Manager, I acted as both the Systems Engineering manager and personal manager for the DSS and JEM team s although my official title was Software Engineering Manager lvl2  ,Innovations Academy,Board Member,Test Engineer at Adaptive A I Inc 2002   2003  1 year ,California Polytechnic State University San Luis Obispo,0,1,,,
Google,Google Cloud Customer Growth,Help companies build better technology Faster and Smarter ,TIBCO Software Inc.,Solutions Engineer,Technology that integrates people data and systems to make business decisions in real time ,Canto,Professional Services Consultant,Digital asset management DAM software that solves enterprise media challenges ,Cisco Systems,IT Engineer,Designs manufactures and sells IP based networking products and services ,University of Michigan,Computer Consultant,IT at the University of Michigan provides general support to college faculty and staff ,Master of Business Administration  MBA 2017  2020,University of Michigan,1,,,
Google,Software Engineer,Edge Platform Security ,Apigee (APIC),Software Engineer,Software Engineer in the Platform Security team ,Virtual Instruments,Software Engineering Intern, Built REST based micro services that gathers application and network performance metrics from AWS CloudWatch and sFlow and ingresses them into a Key Value Store Redis   Conceptualized and implemented the first version of the SDK for building more such data collectors , Software Developer at Sabre Corporation,Assoc, Enhanced features  fixed bugs in Hotel Air and Car Policy and Site Admin modules of GetThere a corporate travel booking site with SaaS architecture that serves more than 12 million transactions everyday  Used best practices like Agile TDD Worked on the entire Java Stack  Was part of the core team that started the initiative to bring in innovative ideas into the product  Developed the idea submission website   Gathered metrics related to the functional and unit test code coverage of the product using JaCoCo and SonarQube Got feedback from various stakeholders and tailored the results dashboard based on their requirements ,Exeter Group,Intern, Automated the build process of OneGate the Obamacare Exchange website for the state of Hawaii   Worked closely with the Deployment team to understand their requirement and presented a feasible solution ,University of California Irvine,Master s in Computer Software Engineering Computer Software Engineering 2014  2016,1,,,
Google,Software Engineer,Display Ads Infrastructure Team , Research Assistant at University of Nebraska–Lincoln,Grad, Developed methods for applying Constraint Processing algorithms to large combinatorial problems ,Adventium Labs,Summer Research Intern, Applied Constraint Processing techniques to develop resource allocation optimization software , Teaching Assistant at University of Nebraska–Lincoln,Grad, Courses CSCE 310 Data Structure and Algorithms CSCE 155N Computer Science I , Research Assistant at Texas State University,Undergrad, Used computer vision techniques to improve the results of an image search web engine ,University of Nebraska Lincoln,University of Nebraska Lincoln,1,,,
Dell,Advisory Software Engineer,Role  Salesforce Architect Dell Financial Services  DFS is working hard to use Salesforce com to assist the back office as well as the customer face applications Several projects are being migrated and new projects are being developed on top of the Salesforce platform using several features provide out of the box from Salesforce To accomplish that we are using ServiceCloud and SalesCloud with some customizations to be able to accommodate all business requirements This project also is using SFDC Communities for all customer face application using mainly Visualforce pages and Angular for the front end and APEX with WebServices integration  SOAP and REST  on the back end  Responsibility My main responsibility as Development Leader in this project is to ensure the team will deliver all items requested by our customers within the available time To accomplish it I need to assign and track tasks to developers I also have to interface the BSA and the Project Owner with the development team and help on writing User Stories and defining priorities  Other than as SFDC Architect I need to care about the interlocks with other projects to arrange all the deliverables needed on time and sync with all other teams engaged under this project Once we are running different projects on top of the same SFDC org I am the responsible to make it happen on the correct way as well using the correct standards and avoiding re work Currently our team have around 40 developers working on the same SFDC org one of our main challenge is to merge all changes into one single source code to be able to deploy it correctly To accomplish that  I m responsible to create the designs that will be used based on the requirements we have from our customer APEX Visualforce Integration  Rest SOAP Legacy data migration etc   ,HP,Software Engineer,Software Developer at Dell February 2009   December 2010  1 year 11 months ,Dell,Software Developer, Design and development system to migrate legacy application in Cobol to a global solution  Focused in backend process layer This backend is a J2EE application that provides services to other applications It is a SOA architecture implemented using webservices The main technology used is EJB Hibernate Oracle 11g RSOM Foton Weblogic 8 1 10 1 Working globally with people from USA India Japan and Brazil ,Dell,Software Developer,Project related to provide data access read write update via WebService using the SOA architecture To perform this project we used the Aqualogic Data Service Platform from BEA Oracle and Oracle 11g as the Data Base This project was running Scrum ,Dell,Software Developer,Worked in an integration project Dell bought the ASAP Software company and this project was responsible to integrate the current Dell systems with current ASAP applications This project was running SCRUM in 3 different locations Austin Texas  Chicago Illinois  Bangalore India  and Porto Alegre Brazil  This was a Java project and I was responsible to the data migration  mapping data base structure and creating backend systems to migrate the whole data accordingly the the final data base structure Used Java J2EE iBatis SQLServer 2005 and Oracle 11g  Working globally with people from USA India and Brazil ,Certified Scrum Master Computer Software Engineering 2016  2016,Activities and Societies  Certified Scrum Master,1,,,
Dell,Software Engineer,Software Developer at Saxon Global Inc September 2014   April 2015  8 months ,Saxon Global  Inc.,Software Developer,Software Engineer at MCA140 Software Solutions April 2014   August 2014  5 months ,MCA140 Software Solutions,Software Engineer,Education Mahatma Gandhi University Bachelor of Engineering BE  2009  2013 Vishwajyoti College of Engineering and Technology Vazhakulam P O  Muvattupuzha  Ernakulam 686 670 Bachelor of Technology B Tech  Computer Science 2009  2013 ,0,0,0,0,0,0,Mahatma Gandhi University,Vishwajyoti College of Engineering and Technology Vazhakulam P O  Muvattupuzha  Ernakulam ,1,,,
TripAdvisor,Software Engineer,Application Security  Technology  Infrastracture team ,Center for Open Research Resources and Equipment  UConn,Full Stack Web Developer,http  core uconn edu ,Invert a Binary Tree  Inc.,Professional Mock Interviewer,I have given over 100 coding mock interviews and helped many computer science majors get jobs ,University of Connecticut,Teaching Assistant,As a TA I   Work with graduate TAs and professors on a professional level  Lead weekly problem solving sessions and exam review sessions for students  Assist with laboratory coding sessions  Hold office hours  Grade coding assignments proofs and exams  Write automated test suites to multiply the productivity of course staff  Have read so much code that I have turned into a human compiler ,on Security Intern at TripAdvisor,Appli, Full stack development on Apache Tomcat writing scalable code impacting over 300 000 000 users  Wrote back end Java code focused on improvements to security such as authentication  authorization encryption protocols and secure cookie management  Wrote Python scripts to schedule multi threaded and parameterized map reduce jobs using Hive on Hadoop clusters  Participated in an intern hackathon and created a deployable proof of concept of a feature in the span of 3 days  Ate a lot of free delicious food every day ,University of Connecticut,Activities and Societies  Honors Program Pratt and Whitney Undergraduate Leadership Teaching,1,,,
IBM,Java Developer,IMS Mobile Access Development Lead IMS Open DB Java development PL 1 development and  whatever else I am asked to do  ,IBM,Software Engineer,Education San Jose State University Master of Science M S  Computer Software Engineering 2011  2013 San Jose State University Bachelor of Science B S  Mechanical Engineering 1993  1999 ,0,0,0,0,0,0,0,0,0,San Jose State University,Master of Science M S  Computer Software Engineering 2011  2013,1,,,
Delegata,Software Engineer, Back end web development in Java and Kotlin  Helped create the middleware using the Vertx library  Worked with a team to build a HTTP server application that communicates with the front end to retrieve information and store it in the database  Created several test cases to validate the accurate retrieval of information from the database and validate the accurate submission information to the front end via http requests  Implemented Restful Web Services  Learned how to communicate effectively with Cassandra set up tables key spaces and other data storage facilities ,Intel Corporation,Software Test Engineer,Currently working with developing test cases for automation tools on the firmware team Developing code mainly in python and C Assisting with reporting and finding bugs in test case code Assisting with improving removing and reporting inefficiencies in firmware GUIs ,0,0,0,0,0,0,0,0,0,University of California Davis,0,2,,,
Intel Corporation,Software Development Engineer,Designed Developed and Deliver the large scale distributed systems and platforms which is used by users globally  ,Intel Corporation,Software Engineer Intern,Designed and developed User Interface and Back end Front end development on an internal inventory tracking and ordering web application used by Intel employees worldwide Currently developing sites with AngularJS Web API and Bootstrap Code and maintain all aspects front end business logic database of internal web applications ,Jiv Daya Foundation,Software Developer, Developed and optimized a database using MySQL  Worked with Subversion for Version management Nagios for network and server management  Optimized the software using Java JSP Servlet ,on Developer at Avani Cimcon Technologies Inc.,Trainee- Android Appli,Designed and developed an Android application from scratch for Travel management including Flight ticket booking Car rental Hotel booking etc It covers the complete plan for the trip Compatible with Android mobiles and tablets ,0,0,0,0,0,1,,,
Best Buy,Full Stack Developer,Software Engineer at Daugherty Business Solutions August 2016   Present  1 year 3 months ,Daugherty Business Solutions,Software Engineer,Operations Manager at Vivint April 2014   September 2015  1 year 6 months ,ons Manager at Vivint,Ope,Technician at Vivint 2008   2014  6 years ,Vivint,Technician,Education University of Wisconsin Eau Claire Bachelor s Degree Software Engineering 2012  2015 ,0,0,0,University of Wisconsin Eau Claire,0,1,,,
Uber,Software Engineer II,Machine learning data mining research and application in routing ETA map navigation ,Abbott,Research Software Engineer II,working on image based artificial intelligence hematology device for point of care  1 designing prototype computer vision algorithm for cell shape and texture feature extraction  2 designing prototype machine learning algorithm for large scale cell classification clustering  abnormality detection  3 designing prototype machine learning algorithm for feature selection and feature learning  4 implementing product code using C  5 version control using both SVN and TFS 6 unit testing ,onal science lab,science department, compu,Research interest machine learning computer vision data mining medical image analysis ,Abbott Point of Care,Research Intern, 1 Design classification algorithm for the White Blood Cell classification using Matlab  2 Design new visual features to describe the shape and texture of the cells using Matlab 3 Implement the algorithm in C  on Windows platform  4 Version control via team foundation server  5 system optimization using Intel IPP library  6 Unit test ,Abbott Laboratories,intern system programming engineering, develop and test the camera calibration algorithm find out the calibration methods to remove shading and DSNU and PRNU of the CMOS and CCD cameras  Design and implement NUnit based unit testing framework for in house image processing and classification libraries  Manage version control using SVN with apache server  ,The University of Texas at Arlington,Tianjin University,1,,
Uber,Software Engineer II,Sr Software Engineer at Symantec June 2016   November 2016  6 months ,Symantec,Sr. Software Engineer, Extended Cloud Intelligence Service CIS for collecting metadata from AWS resources and containers ,Symantec,Software Engineer,  Developed Cloud Intelligence Service CIS which acts as a single source of truth of Cloud Platform metadata for enabling automation and make optimizations on usage statistics  Deployed and maintained the telemetry service ceilometer of OpenStack in 4 data centers  Developed plugins for ceilometer which shipped logs and metrics from OpenStack to the Logging  Monitoring platform for further analysis  created health dashboards for OpenStack Services  Enhanced ChatOps tools for increasing efficiency of the SRE team  ,Cisco Systems,Software Engineer II, Integrated Cisco Software Manager CSM for XR and Nexus routers  Added new features in Cisco Software Manager like failure handling off box recommendation and logging  Automated deployment and configuration of virtual machines on lab servers  Performed scale testing using 150 virtual machines to verify that CSM can manage the devices  Added a logging mechanism to Cisco Messaging Interface CMI  Optimized regression of CMI and reduced the run time by 8 hours ,Texas A&M University,Student Worker, Worked on a research project with Cisco Systems IP Communications Business Unit  Developed a tool to validate website for managing Cisco IP Phones ,0,0,1,,,
Dell,Software Development Engineer, Currently part of the control plane and platform team responsible for designing and implementing various features and enhancements of control plane and platform in existing backup and data recovery appliances Dell DR series products   Design and implemented hardware health monitoring and reporting infrastructure which can be utilized across numerous Dell storage platforms  Designed and implemented strategies for optimal database schemas to store system configuration information  Designed and implemented RPC mechanisms for effective and scalable client server communication in multi threaded environment  Designed and implemented entire CLI frame work for Dedupe based back up and recovery products ,San Jose State University,Student: Masters of Computer Engineer (Major: Network System),My course works are Computer Network Protocols Network Programming Network Security  Network Testing Database System BI Software Development and Testing ,Dell,STORAGE DEVELOPMENT ENGINEERING INTERN, Worked on Dell Ocarina storage platform as a part of the core development team  Solely designed and implemented Error Injection Framework to test and simulate the various negative error paths dynamically at run time  Wrote various custom developer tools for different data IO paths in Dedupe file systems which can be used by developers QA to unit test various components of Dell Data Recovery Backup Appliance  Designed and implemented custom tools to generate performance matrix of the product ,BISAG Gandhinagar Guj India,Intern Project Engineer,GIS Geo Graphic Information System Project ,0,0,0,San Jose State University,Gujarat University,1,,,
Microsoft,Software Engineer,Application Systems Analyst Programmer at UAMS  University of Arkansas for Medical Sciences April 2016   November 2016  8 months ,on Systems Analyst/Programmer at UAMS - University of Arkansas for Medical Sciences,Appli,Software Developer at Dealfar LLC September 2015   March 2016  7 months ,Dealfar LLC,Software Developer,Software Engineer Internship at TripAdvisor June 2015   August 2015  3 months ,TripAdvisor,Software Engineer Internship, Develop a new data service with Java Spring Framework This service data s input and output from PostgresSql and Hive   Using MAVEN to build POM file Configuration Writing Spring Beans and configuration xml file to build Spring Jobs  data flow and Implementing Main App to run the tasks  Use Perl to parse MS Excel file to produce SQL script to update content of table from Postgresql  FrontEnd write new JSP file and add css3 javascript code for new website feature ,0,0,0,State University of New York at Buffalo,Master s Degree Computer Science 2013  2015,1,,,
Google,Software Engineer,Android Security ,Worcester Polytechnic Institute,Teaching Assistant,I have been a TA for 12 classes total some repeatedly Discrete Math MA 2021 Intro to Object Oriented Program Design CS 2012 Intro to Computer Science for Majors CS 1101 Intro to Systems Programming for non majors CS 2301 Advanced Intro to Computer Science for Majors CS 1102 Algorithms CS 2221 Intro to Systems Programming for majors CS 2303 Software Engineering CS 3733 Programming Languages CS 4536 ,Microsoft,Software Engineering Intern,IIS  AppPlat ,TripAdvisor,Intern,SEO ,TripAdvisor,Intern,apps facebook com tripadvisor ,0,0,1,,,
Intel Corporation,Computer Vision Software Developer,Currently leading project researching deep reinforcement learning methods for training driving policies for autonomous vehicles Previously worked on assessing and optimizing algorithms for occupancy grid mapping multi target tracking based on particle filtering Also was involved in optimization of deep neural networks for object detection and localization for deployment on Intel computer vision accelerator ,Systems & Technology Research,Video & Image Understanding Intern,Developed software for a surveillance tracking system that detected areas of shadow and occlusion in 2D imagery by utilizing RADAR data automatically selected from a large set based on the geographical location of the photo to generate a 3D rendering of the visible scene using C  OpenGL This environmental information then represented one part of a larger context aware ,IBM,CVD Process Engineering Intern,Ran experiments to optimize the time and material usage of different processes in the chemical vapor deposition CVD operations on silicon wafers This work additionally contributed to improving the availability of the tools I also worked with my team to characterize newly installed tools and to establish guidelines for implementing new procedures ,Rensselaer Polytechnic Institute,Computer Vision Research Assitant,Worked as an undergraduate research assistant on a research project under the supervision of Dr  Rich Radke The product was a computer vision system with the ability to track the movement of objects traveling through the field of view of multiple distorted camera lenses Video streams from each camera were processed separately then accordingly stitched together into a single mosaic video showing the entire scene onto which bounding boxes were superimposed around subjects of interest ,RAM Alarm Services  Inc.,Alarm Contractor,Installed fire alarm and security systems at residential and commercial sites Gained hands on experience with large electrical systems ,Stanford University,Master of Science M S  Electrical Engineering 2015  2017,3,,,
Uber,Software Engineer,Coming soon   ,Manage.com,Software Engineer,Large Scale Ads Click Through Rate CTR  Install Rate IR Estimation Through Spark   I contributed 50 of production model codes The built models are applied to 40B daily bidding events   I contributed 50 of the internal model training  performance monitoring platform codes ,UC Davis,Double-Major Master Student in Computer Science, I took a project oriented master which focused on Deep Learning for Image Classification  The purpose of this project is to design some visualization toolkits that help researchers more efficiently build some deep neural network for any specific Image Classification task The built framework is easily adapted for other related machine vision project for instance object detections I use Caffe and Cuda convnet as the backend deep learning training tools then I extract some intermediate deep layer learning outputs visualize them through Graphviz and build some frontend web pages through Flask , Warehouse Intern at Shutterfly Inc.,, I am the major architect involving Shutterfly Big Data Analytics POC Project  I am responsible setting up and testing most current open source big data platforms Hadoop  Spark Cassandra Hive HBase Storm in a six node development Linux cluster Giving five months user image uploading metadata 7 1 TB and 1 7 billion pics  I design the ETL framework to build up the users image style profile  Every week I report my progress on development cluster and propose better alternatives  Hadoop vs Spark Cascading and Storm Cassandra vs HBase MySQL and Oracle for improvement I wrote MR job using Hadoop Java  Spark Scala  or Storm Java  I evaluated the performances when coupling Hadoop with MySQL Cassandra and Spark with Cassandra  Although it s a team discussion product I drafted the big data analytics ETL pipeline ,on at UC Davis,PHD Student in Transpor,Master Student at UNCC January 2007   January 2009  2 years 1 month ,University of California Davis,Master of Engineering M Eng  Computer Science 2012  2014,2,,,
Worcester Polytechnic Institute,Android Architect and Developer,Computer Science Senior Assistant at Worcester Polytechnic Institute August 2015   Present  2 years 3 months ,Worcester Polytechnic Institute,Computer Science Senior Assistant,Computer Science Senior Assistants SA are undergraduate Teaching Assistants TA  Some of my key responsibilities include holding office hours running lab sessions grading homeworks  quizzes and exams for a course assigned every term ,TripAdvisor,Software Development Intern,Worked as a Web Developer in the Revenue Optimization Team under the Hotels Pillar on Commerce UI  Worked on various Hotel Pages in Java Dust Velocity Templates CSS and JavaScript  Developed new features and website improvements for Product Managers to A B test  Refactored existing code base to improve type safety readability maintainability and scalability ,Venmo,Android Development Co-op,Developer for the Venmo Android application ,PayPal,Android Development Co-op,Developer for the PayPal Business Android application  Worked with UI designers to create new user flows and modify existing ones in the native application using an in house MVP framework for Android in Java  Understood existing PayPal Services to write new native services using Reactive Java Components RxJava  Fixed bugs and introduced new functionality to back end PayPal Services for the new user flows in JavaScript Node js  Wrote Presenter and Service Unit Tests to verify functionality using Java and Mockito ,0,0,1,,,
Google,Software Engineer,Teaching Assistant at The University of Texas at Austin July 2013   May 2015  1 year 11 months ,The University of Texas at Austin,Teaching Assistant,Co Founder at Nominate www nominateapp com June 2014   April 2015  11 months ,Nominate (www.nominateapp.com),Co Founder,Responsible for the android client and services ,TripAdvisor,Software Engineering Intern,Worked on the personalization team Won the tripadvisor intern hackathon ,DevFactory,Software Engineer,Developing software and fixing issues with existing software ,The University of Texas at Austin,Master of Science MS  Computer Software Engineering 2013  2015,2,,,
QHR Technologies,Software Developer,Junior Software Developer at QHR Technologies June 2016   May 2017  1 year ,QHR Technologies,Junior Software Developer,Development of Medeo s Video conferencing application specializing in WebRTC field Contributor of the Medeo web application and Medeo s multi user conferencing component  ,Pangu Holdings Corp(Vansky),Software Developer,Maintain current services  Current servers were built using Javascript and are maintained using nodeJS I am required to fix any bugs or problems reported by customers and keep the current code updated to ensure that no more bugs arise Update add or remove advertisements and banners on the website using HTML CSS and some Javascript Ensure that the admin page and administration services are running appropriately and fixed through use of Java Make required changes to the database using MySQL ,Intel Corporation,SSG Programmer,I worked for Intel as an intern in a group under Intel SSG Software Solution Group  I was responsible to the ITS client manager UI code design 2nd edition  I used the Java swing technology to design the prototype of the ITS client manage and took parted in the requirement analysis and use case discussion I took all the code design and bug fix work of the complex UI part  The project has received the Intel developer forum innovation award in September 2013 in San Francisco I was a key contributor of the project Also I have learn not only professional programming skills but also how to communicate with my team members and work as a team is the key to success Coordinate and collaborate with team members to achieve the goal ,LeEco,Web Developer,I had an internship with LeEco in China Beijing during April 2012 to September 2012 I was involved in the Web UI development for the online store STB Set Top Box using mostly HTML5 JavaScript and CSS3 ,Thompson Rivers University,0,1,,,
US Air Force Reserve,Flight Chief - Cyber Systems Operation,Principal Software Engineer at Dell December 2010   Present  6 years 11 months ,Dell,Principal Software Engineer,Cyber Systems Operations at USAF 2002   2015  13 years ,ons at USAF,Cyber Systems Ope,Security Analyst at Sage Data Security December 2009   December 2010  1 year 1 month ,Sage Data Security,Security Analyst,Systems Administrator at Know Technology June 2007   December 2009  2 years 7 months ,r at Know Technology,Systems Administ,Core Services Technician at United States Air Force October 2004   February 2006  1 year 5 months ,Southern New Hampshire University,Master of Business Administration M B A  2016  2019,1,,,
Intel Corporation,L3 - Software Engineer – InfoSec,L2 Software Engineer at Experian May 2015   December 2016  1 year 8 months ,Experian,L2 Software Engineer,Provide support for Experian Cross Channel Marketing Platform The environment consists in Windows Server 2012 ASP net applications IIS 7 0  SQL DB 2012 Transactions web services DNS configuration for mailing services and UNIX experience for mailing transfer agent configuration ,Tek-Experts IT Solutions CR,Technical Leader -(Hewlett Packard Contractor),Provide solutions for servers allowing clients to standardize consolidate and automate server operations in the HP Hybrid Data Center  Operational lead guide and mentoring for Support Software Team ,Tek Experts,Senior Software Engineer (Hewlett-Packard Contractor):,Platform HP UCMDB Universal Configuration Management Database  Automated Service Modeling for Net Control Store to configure net software and infrastructure components to simplify change control Manage admin components like  analysis reporting policy management  integrations including automated service modeling for net environments ,r at Multimodal Operador Logístico Internacional,IT Coordi,Coordinate all IT projects manage software and hardware resources Active Directory Admin  identify and resolve technical issues ,0,0,1,,,
Uber,Software Engineer,On the Uber for Business team creating B2B transportation solutions Driving the design and development of Uber Central an enterprise product that empowers businesses to request track  and pay for rides for customers ,Intel Corporation,Software Engineer, Owned developed and scaled full software stack for an analytics system critical for chip R D  Built software to monitor and load balance application server cluster to boost throughput  Architected and developed backend infrastructure for factory tools through multiple lifecycles  Designed and executed experiments to optimize data collection and reduce chip testing time  Directed meetings and planned product roadmaps to deliver on customer needs and timelines ,rials Research Intern at Lawrence Berkeley National Laboratory,, Analyzed the mechanics of materials for integration into next generation semiconductor devices  Modeled the vibrational dynamics of sub 22 nm processors to characterize failure modes  Developed and fabricated proprietary nano imaging devices for high throughput scanning ,UC Berkeley,Study Group Leader, Led weekly study groups sizing over 100 students per semester for physics course  Attained highest department wide teacher evaluation scores for communication ,USDA-ARS,Software Development Intern, Wrote data processing program which contributed to 50 000 entries in a national protein database  Automated lab tools and computer based experiments to streamline and error proof workflows  Published literature demonstrating protocol for sensitive screening of foods for carcinogens by mass spectrometry ,Cornell University,Master of Engineering M Eng  Mechanical Engineering 2013  2014,1,,,
Amazon,Software Development Engineer,Software Engineering Intern at Reflektion May 2015   August 2015  4 months ,Reflektion,Software Engineering Intern, Designed and developed a data pipeline to capture the user activities from the browser and store it in Cassandra using Kafka and Storm thereby using the data for search result personalization and improve click through rate  Increased the performance of the search queries by 20 by caching the MongoDB calls  optimizing product indexing and introducing filters in the existing Elasticsearch queries  Automated monitoring of search servers by developing a cron job with appropriate notifications for events and failures  Delivered an internal tool to compare the search results and performance of various development versions and production version which prevented any unwanted modification in the existing functionality with newly added features ,Cognizant Technology Solutions,Software Engineer, Spearheaded complex business functionality within short period of time using Java and Flex by agile mode of development for one of the top investment banks in the world for their client onboarding process  Emphasized and collaborated in building a common framework project which consisted of reusable service layer code and rich user interface components using HTML JavaScript AJAX  jQuery for being used as a library in other projects of the client  Automated the maven build and deployment process by writing a shell script reducing hours of manual efforts to minutes  Developed web services to communicate with external systems like document management system and contact repositories  Trained new team members to understand the existing system business functionality and new technologies which increased the team productivity significantly ,0,0,0,0,0,0,University at Buffalo,Master s Degree Computer Science 2014  2015,1,,,
Paytm,Software Engineer,System Engineer at Yamaha Motor Solutions India Pvt Ltd October 2014   May 2017  2 years 8 months ,Yamaha Motor Solutions India Pvt.Ltd.,System Engineer, L1 L2 Engineer  Responsible for Day To Day Server administration and operation task  Troubleshoot and access the servers through remote connection SSH and RDP   Installing Configuring Linux platform Centos RHEL Ubuntu  Windows 2008  2012 Servers  Applications Web servers Apache IIS Jboss and AWS cloud service management ,Ventures Unlimited Inc,Technical Trainee,Education Bharati Vidyapeeth Deemed University Master of Business Administration  MBA Information Technology 2016  2018 ECHELON INSTITUTE OF TECHNOLOGY Bachelor of Technology B Tech  Computer Science 2010  2014 ,0,0,0,0,0,0,Bharati Vidyapeeth Deemed University,Master of Business Administration  MBA Information Technology 2016  2018,1,,,
Intel Corporation,Cloud Software Engineer,Software Feature Development for Software Defined Networking  Open Source Developer to OpenStack Cloud projects neutron and networking odl ,Intel Corporation,Tablet Software Intern,black box testing for drivers software tools development for sensor testing and sensor enabling on tablets , Student Grader at Portland State University,Grad,I graded assignments for course Digital Media Technology ,0,0,0,0,0,0,Portland State University,Masters of Science Computer Science 2013  2015,1,,,
TripAdvisor,Software Engineer,Search Engine Marketing  Platform  Infrastructure team ,Google,Software Engineering Intern, Interned on Business Platform team  Worked on project Calchas internal tool as a full stack developer to visualize sales and forecast data  In backend added new RPC service to accommodate functions needed to implement in frontend  In frontend added new feature to show submitted forecast results by forecast in both aggregation and non aggregation forms implementing with Polymer and Google Charts in ES6  , Research Assistant at University of Science and Technology of China,Undergrad, Proposed and implemented two algorithms based on non local correlations to extract high dimensional statistical features to detect hidden information embedded in images  Improved detection accuracy over traditional features which are based on local correlations ,0,0,0,0,0,0,Carnegie Mellon University,Master s degree Computational Data Science 2015  2016,1,,,
Apple,Software Engineer,Siri Speech Engineer , Researcher at MIT Spoken Language Systems,Grad, Wrote scripts for building speech recognizers Built recognizers for Turkish Pashto and Cantonese  Investigated the use of low precision math in deep neural networks for acoustic models Low precision math is one approach for speeding up DNN training  Thesis linked below in Publications  Trained DNNs for Dialect and Language Identification using acoustic features  Worked with Kaldi Theano CNTK and LSTM RNNs ,Cisco,Software Engineering Intern, Developed a script webapp to help engineers spend less time generating stack traces  Wrote a script that reproduces a bug on the router by sending commands over Telnet  Benchmarked in memory databases on IOS XR operating system  Optimized the download speed of labeled routes on the ASR9K router Identified the IPC messaging system as a bottleneck and developed a faster replacement ,Yahoo!,Software Engineering Intern,  Worked on a rate limiter for cloud services blog post about it linked below  Integrated the rate limiter into a web server  Created a new data model for specifying limits wrote a C  to Perl wrapper and fixed bugs  Wrote a distributed resource monitor which could be used to distribute the rate limiting For scalability it uses a gossip protocol that arranges nodes in a tree ,Flickr,Software Engineering Intern, Wrote a program to upload log files to Hadoop File System It automatically recovers from crashes  Extended analytics program to track users by 4 new business dimensions ,Master of Engineering M Eng  Computer Science 2014  2015,0,1,,,
Oscar Health,Software Engineer,Working on Provider Data pipeline ,TripAdvisor,Software Engineer,Worked on TripAdvisor s CoreData Stream Processing Pipeline ,Robotics Institute of Carnegie Mellon University,Engineer II,Worked as the major contributor for the NavCog project a indoor navigation app in CMU environment Still keep helping people there ,Intel Corporation,Research Intern,Worked with researchers on avatar chatting App named Pocket Avatars driven by user facial expressions Developed a method to decrease facial motion retargeting errors We wrote a patent for the method coupled with other parts of the system Implemented Constrained Local Model for Facial Landmarks Detection ,Beijing Jiaotong University,Research Assistant,The main task is to build a Multi Camera Face Recognition system The main idea is to capture the most frontal face to improve recognition performance ,Carnegie Mellon University,Master s degree Electrical and Computer Engineering 2014  2015,1,,,
TripAdvisor,Software Engineer,Research Assistant at Indiana University Bloomington August 2014   May 2015  10 months ,Indiana University Bloomington,Research Assistant, Analyzed millions of tweets using Python and found tweets with positive sentiment can attract more retweets and favorites while it usually took longer to get first retweet  Classified hashtags according to their development pattern and found positive tweets were a better indicator for the development pattern of hashtags  Reconstructed users home timeline using Twitter API and found people are more likely to publish tweets with as same sentiment as their followees  Published two papers as co first author which were reported by 13 media sources , Instructor at Indiana University Bloomington,Assoc, Helped the professor with the course preparation for CSCI A110 Introduction to Computers and Computing  ,0,0,0,0,0,0,Indiana University Bloomington,Master of Science MS  Computer Science 2013  2015,2,,,
Best Buy,Sr. Developer,Business Intelligence solutions design  development resource for Best Buy North America  Analytics and Reporting initiatives ,New York Mint,Sr. Software Engineer, Lead Development Resource for Data Quality and Reporting ,Data Recognition Corporation,Software Developer,Development Resource for building proprietary apps used to action on new and current business ,Valspar,IS Analyst Intern, Subledger and GL Month End process automation for Valspar Canada Swiss and UK   Requirements gathering  Process Analysis Design  Testing  Process  Test Case Documentation  Functional specifications review  User acceptance testing ,0,0,0,St Cloud State University,St Cloud State University,1,,,
